;title;rank;date;artist;region;chart;trend;predictions;date_input
0;R.I.P. (feat. Rita Ora & Anitta);182;2019-05-25;Sof?a Reyes;Guatemala;top200;MOVE_UP;79153.4865264411;2023-04-07
1;One Kiss (with Dua Lipa);183;2019-05-25;Calvin Harris;Guatemala;top200;MOVE_DOWN;50821.730573268185;2023-04-07
2;Cuando Nadie Ve;184;2019-05-25;Morat;Guatemala;top200;MOVE_DOWN;39539.10167612924;2023-04-07
3;Estamos Bien;185;2019-05-25;Bad Bunny;Guatemala;top200;NEW_ENTRY;37904.244897796416;2023-04-07
4;when the partys over;186;2019-05-25;Billie Eilish;Guatemala;top200;MOVE_DOWN;37554.599973519056;2023-04-07
5;Cómo Te Voy A Olvidar;187;2019-05-25;Los Ángeles Azules;Guatemala;top200;NEW_ENTRY;37554.599973519056;2023-04-07
6;Yo No Sé Mañana (salsa);188;2019-05-25;Luis Enrique;Guatemala;top200;MOVE_UP;37554.599973519056;2023-04-07
7;Devuélveme a mi chica;189;2019-05-25;Hombres G;Guatemala;top200;MOVE_UP;37554.599973519056;2023-04-07
8;On My Way;190;2019-05-25;Alan Walker, Sabrina Carpenter, Farruko;Guatemala;top200;MOVE_DOWN;37554.599973519056;2023-04-07
9;Procura;191;2019-05-25;ChiChi Peralta;Guatemala;top200;MOVE_UP;37554.599973519056;2023-04-07
